sequence_id,country_id,institute_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR4797246,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797246/ERR4797246_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797246/ERR4797246_2.fastq.gz",S,S,S,S,R,R,R,S,S,S,S,R,R,583
ERR4810679,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4810679/ERR4810679_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4810679/ERR4810679_2.fastq.gz",S,S,R,R,S,S,S,S,R,S,S,S,S,583
ERR4797206,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797206/ERR4797206_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797206/ERR4797206_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,831
ERR4811182,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/002/ERR4811182/ERR4811182_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/002/ERR4811182/ERR4811182_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,831
ERR4797172,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797172/ERR4797172_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797172/ERR4797172_2.fastq.gz",S,S,S,S,R,R,R,S,R,S,R,R,R,918
ERR4811298,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4811298/ERR4811298_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4811298/ERR4811298_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,918
ERR4797228,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797228/ERR4797228_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797228/ERR4797228_2.fastq.gz",S,S,S,S,R,R,R,S,R,S,R,R,R,262
ERR4810917,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/007/ERR4810917/ERR4810917_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/007/ERR4810917/ERR4810917_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,262
ERR4797237,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797237/ERR4797237_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797237/ERR4797237_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,258
ERR4810913,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/003/ERR4810913/ERR4810913_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/003/ERR4810913/ERR4810913_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,258
ERR4797199,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797199/ERR4797199_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797199/ERR4797199_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,991
ERR4797254,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797254/ERR4797254_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797254/ERR4797254_2.fastq.gz",S,S,S,S,S,S,S,NA,S,S,S,S,S,603
ERR4797243,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797243/ERR4797243_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797243/ERR4797243_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,420
ERR4810578,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4810578/ERR4810578_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4810578/ERR4810578_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,420
ERR4797255,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797255/ERR4797255_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797255/ERR4797255_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,646
ERR4797247,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797247/ERR4797247_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797247/ERR4797247_2.fastq.gz",S,S,S,S,S,I,S,S,S,S,S,S,S,267
ERR4810490,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/000/ERR4810490/ERR4810490_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/000/ERR4810490/ERR4810490_2.fastq.gz",S,NA,S,S,S,S,S,S,S,S,S,S,S,267
ERR4797244,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797244/ERR4797244_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797244/ERR4797244_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,270
ERR4797192,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797192/ERR4797192_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797192/ERR4797192_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,949
ERR4811327,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/007/ERR4811327/ERR4811327_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/007/ERR4811327/ERR4811327_2.fastq.gz",S,S,S,NA,NA,S,R,S,R,S,R,R,R,949
ERR4797187,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797187/ERR4797187_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797187/ERR4797187_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,818
ERR4811243,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/003/ERR4811243/ERR4811243_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/003/ERR4811243/ERR4811243_2.fastq.gz",S,S,S,S,S,S,R,S,S,S,S,S,S,818
ERR4797211,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797211/ERR4797211_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797211/ERR4797211_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,992
ERR4797006,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797006/ERR4797006_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797006/ERR4797006_2.fastq.gz",S,S,S,S,S,S,NA,S,S,S,S,S,S,770
ERR4811269,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4811269/ERR4811269_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4811269/ERR4811269_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,770
ERR4813865,Brazil,Brazil,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4813865/ERR4813865_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4813865/ERR4813865_2.fastq.gz",S,S,R,S,R,S,R,S,S,S,S,R,R,770
ERR4797219,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797219/ERR4797219_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797219/ERR4797219_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,527
ERR4811055,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4811055/ERR4811055_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4811055/ERR4811055_2.fastq.gz",R,S,S,S,S,S,S,S,S,S,S,S,S,527
ERR4797245,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797245/ERR4797245_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797245/ERR4797245_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,452
ERR4797253,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797253/ERR4797253_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797253/ERR4797253_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,596
ERR4810778,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4810778/ERR4810778_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4810778/ERR4810778_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,596
ERR4797250,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797250/ERR4797250_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797250/ERR4797250_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,419
ERR4811149,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4811149/ERR4811149_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4811149/ERR4811149_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,419
ERR4797252,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797252/ERR4797252_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797252/ERR4797252_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,448
ERR4810564,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/004/ERR4810564/ERR4810564_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/004/ERR4810564/ERR4810564_2.fastq.gz",S,NA,S,S,S,S,S,S,S,S,S,S,S,448
ERR4813863,Brazil,Brazil,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/003/ERR4813863/ERR4813863_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/003/ERR4813863/ERR4813863_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,S,R,S,448
ERR4797213,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797213/ERR4797213_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797213/ERR4797213_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,R,R,R,977
ERR4811358,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4811358/ERR4811358_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4811358/ERR4811358_2.fastq.gz",S,S,S,S,S,S,R,S,S,S,S,R,R,977
ERR4797251,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797251/ERR4797251_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797251/ERR4797251_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,421
ERR4810785,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4810785/ERR4810785_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4810785/ERR4810785_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,421
ERR4797233,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797233/ERR4797233_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797233/ERR4797233_2.fastq.gz",S,S,S,S,S,I,R,S,S,S,S,S,S,279
ERR4810573,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/003/ERR4810573/ERR4810573_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/003/ERR4810573/ERR4810573_2.fastq.gz",S,S,R,S,S,S,S,S,S,S,S,S,S,279
ERR4797241,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797241/ERR4797241_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797241/ERR4797241_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,264
ERR4810919,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4810919/ERR4810919_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4810919/ERR4810919_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,264
ERR4797013,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797013/ERR4797013_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797013/ERR4797013_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,837
ERR4811172,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/002/ERR4811172/ERR4811172_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/002/ERR4811172/ERR4811172_2.fastq.gz",S,S,R,S,S,S,S,S,S,S,S,S,S,837
ERR4797248,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797248/ERR4797248_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797248/ERR4797248_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,275
ERR4797210,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797210/ERR4797210_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797210/ERR4797210_2.fastq.gz",S,S,R,S,S,S,R,S,S,S,S,S,S,994
ERR4797031,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797031/ERR4797031_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797031/ERR4797031_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,823
ERR4796999,India,Foundation for Medical Research India,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796999/ERR4796999_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796999/ERR4796999_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,S,R,R,533
ERR4810766,China,CCDC,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4810766/ERR4810766_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4810766/ERR4810766_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,S,R,R,533
ERR4808858,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/008/ERR4808858/ERR4808858_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/008/ERR4808858/ERR4808858_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,YA00009386
ERR4808867,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/007/ERR4808867/ERR4808867_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/007/ERR4808867/ERR4808867_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,S,R,R,YA00015977
ERR4808866,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/006/ERR4808866/ERR4808866_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/006/ERR4808866/ERR4808866_2.fastq.gz",R,S,S,S,I,R,R,R,R,S,R,R,R,YA00040360
ERR4808857,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/007/ERR4808857/ERR4808857_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/007/ERR4808857/ERR4808857_2.fastq.gz",R,S,S,S,R,I,R,R,R,NA,R,R,R,YA00040375
ERR4808874,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/004/ERR4808874/ERR4808874_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/004/ERR4808874/ERR4808874_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,R,R,YA00009542
ERR4808861,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/001/ERR4808861/ERR4808861_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/001/ERR4808861/ERR4808861_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,YA00040393
ERR4808862,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/002/ERR4808862/ERR4808862_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/002/ERR4808862/ERR4808862_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,YA00004399
ERR4808878,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/008/ERR4808878/ERR4808878_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/008/ERR4808878/ERR4808878_2.fastq.gz",S,S,S,S,I,I,R,S,S,S,S,R,S,YA00019952
ERR4808865,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/005/ERR4808865/ERR4808865_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/005/ERR4808865/ERR4808865_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,YA00002423
ERR4808860,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/000/ERR4808860/ERR4808860_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/000/ERR4808860/ERR4808860_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,YA00008417
ERR4808876,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/006/ERR4808876/ERR4808876_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/006/ERR4808876/ERR4808876_2.fastq.gz",S,S,S,S,R,R,R,S,R,S,R,R,R,XD00978126
ERR4808872,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/002/ERR4808872/ERR4808872_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/002/ERR4808872/ERR4808872_2.fastq.gz",S,S,S,NA,S,S,S,S,S,S,S,R,R,YA00010399
ERR4808871,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/001/ERR4808871/ERR4808871_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/001/ERR4808871/ERR4808871_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,YA00038896
ERR4808877,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/007/ERR4808877/ERR4808877_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/007/ERR4808877/ERR4808877_2.fastq.gz",R,S,S,NA,R,R,R,R,R,S,R,R,R,YA00018020
ERR4808856,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/006/ERR4808856/ERR4808856_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/006/ERR4808856/ERR4808856_2.fastq.gz",R,S,S,S,I,R,R,R,R,R,R,R,R,YA00040363
ERR4808859,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/009/ERR4808859/ERR4808859_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/009/ERR4808859/ERR4808859_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,R,R,YA00038873
ERR4808864,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/004/ERR4808864/ERR4808864_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/004/ERR4808864/ERR4808864_2.fastq.gz",R,S,R,S,R,I,R,R,R,S,R,R,R,YA00040356
ERR4808873,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4808873/ERR4808873_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4808873/ERR4808873_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,R,R,YA00009296
ERR4808869,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/009/ERR4808869/ERR4808869_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/009/ERR4808869/ERR4808869_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,YA00038968
ERR4808881,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/001/ERR4808881/ERR4808881_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/001/ERR4808881/ERR4808881_2.fastq.gz",S,S,S,S,R,R,R,S,S,S,S,R,S,YA00012449
ERR4808875,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/005/ERR4808875/ERR4808875_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/005/ERR4808875/ERR4808875_2.fastq.gz",R,S,R,S,I,S,R,R,R,S,R,R,NA,YA00040379
ERR4808868,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/008/ERR4808868/ERR4808868_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/008/ERR4808868/ERR4808868_2.fastq.gz",R,S,S,S,I,S,R,R,R,S,R,S,S,YA00038960
ERR4808880,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/000/ERR4808880/ERR4808880_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/000/ERR4808880/ERR4808880_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,S,R,R,YA00017314
ERR4808884,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/004/ERR4808884/ERR4808884_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/004/ERR4808884/ERR4808884_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,YA00012943
ERR4808863,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4808863/ERR4808863_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4808863/ERR4808863_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,YA00005301
ERR4808870,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/000/ERR4808870/ERR4808870_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/000/ERR4808870/ERR4808870_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,YA00038895
ERR4808897,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/007/ERR4808897/ERR4808897_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/007/ERR4808897/ERR4808897_2.fastq.gz",R,S,S,S,R,R,R,R,R,S,R,R,R,YA00038891
ERR4808894,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/004/ERR4808894/ERR4808894_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/004/ERR4808894/ERR4808894_2.fastq.gz",R,S,S,S,I,S,R,R,R,S,R,R,S,YA00038884
ERR4808879,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/009/ERR4808879/ERR4808879_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/009/ERR4808879/ERR4808879_2.fastq.gz",S,S,S,NA,S,S,S,S,S,S,S,S,S,YA00017426
ERR4808893,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4808893/ERR4808893_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4808893/ERR4808893_2.fastq.gz",R,S,S,S,I,S,R,R,R,S,R,R,S,YA00040353
ERR4808886,South Africa,CTB/NICD,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/006/ERR4808886/ERR4808886_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/006/ERR4808886/ERR4808886_2.fastq.gz",R,S,S,S,R,R,R,R,R,S,R,R,R,YA00038869
